éclater;1;ver
faction;1;nom
origine;1;nom
de_facto;1;adv
hamdan;1;nr
daglo;1;nr
the;1;nr
tre;1;nr
effroyable;1;adj
secre;1;nr
taire;1;ver
ge;1;nr
ral;1;nr
adjoint;1;nom
coordonnateur;1;adj
secours;1;nom
pre;1;nr
te;1;pro_per
r;1;adv
gions;1;nr
racine;1;nom
éclatement;1;nom
enfoncer;1;ver
spirale;1;nom
privation;1;nom
qualifier;1;ver
officiellement;1;adv
13;1;num
escalade;1;nom
plonger;1;ver
nouvelle;1;adj
phase;1;nom
instabilité;1;nom
emprise;1;nom
flambée;1;nom
incontrôlable;1;adj
grandissant;1;adj
stabilité;1;nom
t;1;pro_per
type_formelle;1;nr
nom_ejcam;1;nr
univ;1;nr
amu;1;nr
résulter;1;ver
danger;1;nom
gargantuesque;1;adj
lacune;1;nom
multifactorielle;1;nr
concerner;1;ver
ukraine;1;nr
gaza;1;nr
interne;1;adj
ressource;1;nom
démantèlement;1;nom
révolution;1;nom
2019;1;num
contraint;1;nom
sécuriser;1;ver
30;1;num
reporter;1;ver
récemment;1;adv
uniquement;1;adv
vouloir;1;ver_sup
disparition;1;nom
récit;1;nom
cause;1;nom
rasha;1;nr
kashan;1;nr
bbc;1;nr
2000;1;num
exilé;1;nom
objectif;1;nom
propagande;1;nom
remplir;1;ver
informationnel;1;nr
malheureusement;1;adv
électricité;1;nom
enjeu;1;nom
développé;1;adj
financer;1;ver
extractivisme;1;nr
dénoncer;1;ver
produire;1;ver
gomme;1;nom
arabique;1;adj
servir;1;ver
recette;1;nom
coca;1;nom
cola;1;nom
pepsi;1;nr
quantité;1;nom
exporter;1;ver
partout;1;adv_sup
levier;1;nom
acheteur;1;nom
tragédie;1;nom
vivre;1;ver
conséquence;1;nom
direct;1;nom
médiatisation;1;nom
milliard;1;nom
dollar;1;nom
don;1;nom
recommander;1;ver
léo;1;nr
braillon;1;nr
ejcam;1;nr
situation;1;nom
assiéger;1;ver
tuerie;1;nom
