%%MatrixMarket matrix coordinate integer general
254 410 2568
1 1 1
36 1 1
41 1 1
1 2 1
6 2 1
61 2 1
78 2 1
91 2 1
213 2 1
224 2 1
233 2 1
235 2 1
1 3 1
3 3 1
4 3 1
5 3 1
7 3 1
8 3 1
9 3 1
10 3 1
11 3 1
13 3 1
15 3 1
18 3 1
19 3 1
20 3 1
21 3 1
24 3 1
27 3 1
31 3 1
33 3 1
35 3 1
38 3 1
41 3 1
47 3 1
48 3 1
53 3 1
55 3 1
57 3 1
59 3 1
61 3 1
62 3 1
65 3 1
67 3 1
73 3 1
83 3 1
190 3 1
193 3 1
197 3 1
198 3 1
199 3 1
200 3 1
216 3 1
241 3 1
243 3 1
254 3 1
1 4 1
16 4 1
207 4 1
245 4 1
247 4 1
249 4 1
252 4 1
254 4 1
1 5 1
62 5 1
189 5 1
1 6 1
2 6 1
67 6 1
101 6 1
123 6 1
155 6 1
216 6 1
1 7 1
41 7 1
50 7 1
52 7 1
80 7 1
94 7 1
182 7 1
201 7 1
208 7 1
242 7 1
1 8 1
2 8 1
246 8 1
1 9 1
7 9 1
21 9 1
24 9 1
31 9 1
33 9 1
37 9 1
56 9 1
74 9 1
194 9 1
201 9 1
210 9 1
240 9 1
245 9 1
2 10 1
108 10 1
127 10 1
183 10 1
188 10 1
2 11 1
13 11 1
39 11 1
48 11 1
62 11 1
67 11 1
189 11 1
227 11 1
246 11 1
251 11 1
2 12 1
39 12 1
48 12 1
60 12 1
62 12 1
67 12 1
189 12 1
2 13 1
62 13 1
189 13 1
2 14 1
26 14 1
39 14 1
100 14 1
110 14 1
143 14 1
246 14 1
249 14 1
2 15 1
246 15 1
251 15 1
2 16 1
246 16 1
251 16 1
2 17 1
39 17 1
41 17 1
240 17 1
245 17 1
246 17 1
247 17 1
250 17 1
251 17 1
2 18 1
39 18 1
41 18 1
2 19 1
7 19 1
23 19 1
37 19 1
48 19 1
59 19 1
62 19 1
189 19 1
2 20 1
7 20 1
23 20 1
37 20 1
48 20 1
62 20 1
189 20 1
2 21 1
58 21 1
62 21 1
189 21 1
3 22 1
4 22 1
223 22 1
3 23 1
5 23 1
8 23 1
9 23 1
20 23 1
21 23 1
29 23 1
35 23 1
50 23 1
64 23 1
83 23 1
84 23 1
96 23 1
190 23 1
195 23 1
221 23 1
224 23 1
227 23 1
228 23 1
3 24 1
198 24 1
228 24 1
249 24 1
254 24 1
4 25 1
9 25 1
17 25 1
50 25 1
86 25 1
195 25 1
232 25 1
4 26 1
110 26 1
195 26 1
253 26 1
4 27 1
20 27 1
64 27 1
83 27 1
195 27 1
221 27 1
223 27 1
224 27 1
232 27 1
4 28 1
185 28 1
230 28 1
231 28 1
4 29 1
9 29 1
10 29 1
64 29 1
83 29 1
191 29 1
210 29 1
222 29 1
4 30 1
74 30 1
92 30 1
206 30 1
5 31 1
17 31 1
34 31 1
49 31 1
57 31 1
62 31 1
65 31 1
80 31 1
81 31 1
83 31 1
85 31 1
90 31 1
95 31 1
189 31 1
190 31 1
192 31 1
196 31 1
202 31 1
210 31 1
212 31 1
216 31 1
229 31 1
230 31 1
238 31 1
5 32 1
6 32 1
11 32 1
12 32 1
17 32 1
41 32 1
42 32 1
43 32 1
47 32 1
49 32 1
55 32 1
61 32 1
62 32 1
66 32 1
75 32 1
83 32 1
192 32 1
195 32 1
223 32 1
5 33 1
7 33 1
8 33 1
33 33 1
58 33 1
69 33 1
70 33 1
80 33 1
81 33 1
82 33 1
90 33 1
211 33 1
229 33 1
230 33 1
237 33 1
5 34 1
9 34 1
50 34 1
5 35 1
20 35 1
35 35 1
36 35 1
199 35 1
201 35 1
208 35 1
219 35 1
222 35 1
226 35 1
228 35 1
230 35 1
233 35 1
242 35 1
5 36 1
85 36 1
190 36 1
5 37 1
8 37 1
9 37 1
50 37 1
82 37 1
83 37 1
84 37 1
96 37 1
145 37 1
146 37 1
190 37 1
5 38 1
18 38 1
22 38 1
25 38 1
30 38 1
34 38 1
48 38 1
60 38 1
190 38 1
6 39 1
53 39 1
192 39 1
6 40 1
80 40 1
87 40 1
192 40 1
7 41 1
21 41 1
24 41 1
27 41 1
30 41 1
37 41 1
49 41 1
67 41 1
79 41 1
93 41 1
208 41 1
210 41 1
217 41 1
237 41 1
7 42 1
37 42 1
202 42 1
210 42 1
238 42 1
7 43 1
21 43 1
23 43 1
27 43 1
28 43 1
31 43 1
33 43 1
37 43 1
39 43 1
42 43 1
44 43 1
52 43 1
77 43 1
78 43 1
84 43 1
85 43 1
89 43 1
91 43 1
93 43 1
95 43 1
193 43 1
210 43 1
212 43 1
215 43 1
7 44 1
21 44 1
23 44 1
27 44 1
28 44 1
31 44 1
33 44 1
37 44 1
42 44 1
44 44 1
77 44 1
78 44 1
95 44 1
193 44 1
210 44 1
212 44 1
215 44 1
7 45 1
8 45 1
23 45 1
48 45 1
76 45 1
7 46 1
21 46 1
23 46 1
73 46 1
75 46 1
77 46 1
78 46 1
95 46 1
193 46 1
206 46 1
215 46 1
219 46 1
225 46 1
7 47 1
21 47 1
23 47 1
30 47 1
37 47 1
42 47 1
64 47 1
77 47 1
78 47 1
84 47 1
85 47 1
88 47 1
89 47 1
90 47 1
92 47 1
93 47 1
95 47 1
193 47 1
195 47 1
196 47 1
199 47 1
210 47 1
216 47 1
225 47 1
227 47 1
240 47 1
241 47 1
7 48 1
57 48 1
66 48 1
68 48 1
69 48 1
70 48 1
73 48 1
77 48 1
196 48 1
218 48 1
223 48 1
236 48 1
245 48 1
247 48 1
249 48 1
7 49 1
8 49 1
69 49 1
70 49 1
71 49 1
75 49 1
95 49 1
218 49 1
219 49 1
220 49 1
8 50 1
190 50 1
210 50 1
8 51 1
22 51 1
30 51 1
8 52 1
35 52 1
116 52 1
121 52 1
142 52 1
151 52 1
162 52 1
180 52 1
9 53 1
10 53 1
11 53 1
12 53 1
13 53 1
15 53 1
16 53 1
17 53 1
33 53 1
47 53 1
48 53 1
54 53 1
55 53 1
60 53 1
63 53 1
64 53 1
71 53 1
79 53 1
81 53 1
82 53 1
86 53 1
107 53 1
124 53 1
183 53 1
190 53 1
222 53 1
240 53 1
9 54 1
28 54 1
33 54 1
45 54 1
63 54 1
65 54 1
67 54 1
73 54 1
78 54 1
87 54 1
94 54 1
95 54 1
198 54 1
203 54 1
204 54 1
207 54 1
212 54 1
215 54 1
217 54 1
220 54 1
233 54 1
254 54 1
9 55 1
65 55 1
194 55 1
197 55 1
198 55 1
202 55 1
237 55 1
241 55 1
242 55 1
9 56 1
47 56 1
48 56 1
59 56 1
107 56 1
124 56 1
183 56 1
191 56 1
9 57 1
10 57 1
13 57 1
21 57 1
27 57 1
36 57 1
54 57 1
205 57 1
214 57 1
220 57 1
235 57 1
9 58 1
10 58 1
11 58 1
14 58 1
15 58 1
51 58 1
54 58 1
55 58 1
56 58 1
206 58 1
207 58 1
9 59 1
10 59 1
11 59 1
14 59 1
19 59 1
89 59 1
90 59 1
92 59 1
93 59 1
218 59 1
220 59 1
10 60 1
36 60 1
55 60 1
59 60 1
210 60 1
10 61 1
128 61 1
132 61 1
134 61 1
171 61 1
181 61 1
10 62 1
14 62 1
16 62 1
17 62 1
10 63 1
14 63 1
16 63 1
17 63 1
10 64 1
12 64 1
13 64 1
14 64 1
15 64 1
19 64 1
30 64 1
36 64 1
53 64 1
55 64 1
56 64 1
57 64 1
58 64 1
59 64 1
10 65 1
12 65 1
13 65 1
14 65 1
15 65 1
16 65 1
19 65 1
49 65 1
55 65 1
248 65 1
251 65 1
252 65 1
12 66 1
19 66 1
126 66 1
12 67 1
111 67 1
113 67 1
151 67 1
159 67 1
160 67 1
163 67 1
164 67 1
170 67 1
178 67 1
13 68 1
17 68 1
21 68 1
57 68 1
60 68 1
97 68 1
185 68 1
231 68 1
238 68 1
13 69 1
15 69 1
41 69 1
149 69 1
156 69 1
215 69 1
13 70 1
58 70 1
113 70 1
14 71 1
163 71 1
178 71 1
14 72 1
36 72 1
42 72 1
118 72 1
157 72 1
159 72 1
14 73 1
140 73 1
187 73 1
15 74 1
150 74 1
177 74 1
15 75 1
41 75 1
113 75 1
15 76 1
16 76 1
26 76 1
