"";"*type_formelle";"*type_informelle"
"art_ind";64;431
"nom";351;1753
"aux";66;298
"ver";126;672
"art_def";218;958
"num";41;149
"nr";139;450
"adj_num";15;20
"adj";87;477
"pro_per";43;145
"pre";236;1103
"adj_ind";12;53
"adv";15;70
"ver_sup";17;51
"pro_ind";8;68
"adv_sup";57;200
"con";47;336
"nom_sup";15;22
"pro_rel";27;138
"adj_dem";9;30
"pro_dem";10;54
"adj_pos";7;50
"ono";2;7
"adj_sup";1;2
